
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002441                       # Number of seconds simulated (Second)
simTicks                                   2441001728                       # Number of ticks simulated (Tick)
finalTick                                  2441001728                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     46.64                       # Real time elapsed on the host (Second)
hostTickRate                                 52341736                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     729020                       # Number of bytes of host memory used (Byte)
simInsts                                      9773767                       # Number of instructions simulated (Count)
simOps                                       22101016                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   209576                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     473905                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           256                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          9535164                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.975587                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.025023                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23464591                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      723                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       22936198                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3620                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1364292                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3026666                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9301497                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.465861                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.572256                       # Number of insts issued each cycle (Count)
system.cpu.commitStats0.committedInstType::SimdAes            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdAesMix            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha1Hash2            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdSha256Hash2            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma2            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdShaSigma3            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::SimdPredAlu            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::Matrix            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixMov            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MatrixOP            0      0.00%     68.05% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemRead       494059      2.24%     70.29% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::MemWrite       180242      0.82%     71.11% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemRead      4226038     19.12%     90.23% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::FloatMemWrite      2159919      9.77%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::IprAccess            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::InstPrefetch            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideMaskLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideMaskStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorStridedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorStridedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIndexedLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIndexedStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorWholeRegisterLoad            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorWholeRegisterStore            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIntegerArith            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorFloatArith            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorFloatConvert            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIntegerReduce            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorFloatReduce            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorMisc            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorIntegerExtension            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::VectorConfig            0      0.00%    100.00% # Class of committed instruction. (Count)
system.cpu.commitStats0.committedInstType::total     22101016                       # Class of committed instruction. (Count)
system.cpu.commitStats0.committedControl::IsControl      1430790                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsDirectControl      1413954                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsIndirectControl        16647                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCondControl      1386030                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsUncondControl        44571                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsCall        11270                       # Class of control type instructions committed (Count)
system.cpu.commitStats0.committedControl::IsReturn        11266                       # Class of control type instructions committed (Count)
system.cpu.decode.idleCycles                  1209238                       # Number of cycles decode is idle (Cycle)
system.cpu.decode.blockedCycles               4926712                       # Number of cycles decode is blocked (Cycle)
system.cpu.decode.runCycles                   1229611                       # Number of cycles decode is running (Cycle)
system.cpu.decode.unblockCycles               1902661                       # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.squashCycles                  33275                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved              1333393                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                  1217                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts               23929689                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts                  5984                       # Number of squashed instructions handled by decode (Count)
system.cpu.executeStats0.numInsts            22838921                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                     0                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches          1465864                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts         4880414                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts        2378224                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            2.395231                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numCCRegReads        7754775                       # Number of times the CC registers were read (Count)
system.cpu.executeStats0.numCCRegWrites       6307022                       # Number of times the CC registers were written (Count)
system.cpu.executeStats0.numFpRegReads       14895017                       # Number of times the floating registers were read (Count)
system.cpu.executeStats0.numFpRegWrites       8576199                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntRegReads      25741746                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites      9048486                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs           7258638                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads     10229266                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites          702                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.predictedBranches            1397146                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                       8922316                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                   68932                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                 1037                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.pendingTrapStallCycles          7048                       # Number of stall cycles due to pending traps (Cycle)
system.cpu.fetch.icacheWaitRetryStallCycles           95                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu.fetch.cacheLines                    252008                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes                  4523                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples            9301497                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              2.656809                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             3.383476                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                  5068807     54.49%     54.49% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                   446642      4.80%     59.30% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                   284988      3.06%     62.36% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                   261704      2.81%     65.17% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::4                   291826      3.14%     68.31% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::5                   294255      3.16%     71.47% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::6                   337261      3.63%     75.10% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::7                   279686      3.01%     78.11% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::8                  2036328     21.89%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total              9301497                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts              11098725                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             1.163978                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches            1624750                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.170396                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles       336535                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.iew.idleCycles                           0                       # Number of cycles IEW is idle (Cycle)
system.cpu.iew.squashCycles                     33275                       # Number of cycles IEW is squashing (Cycle)
system.cpu.iew.blockCycles                    1253244                       # Number of cycles IEW is blocking (Cycle)
system.cpu.iew.unblockCycles                   653446                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.iew.dispatchedInsts               23465314                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts                 1249                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                  4920609                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                 2431459                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                   713                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                      7911                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                   642667                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents            138                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect          23829                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect        11416                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts                35245                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                 22825467                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount                22750906                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                  18221887                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                  30332073                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        2.386000                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.600747                       # Average fanout of values written-back ((Count/Count))
system.cpu.interrupts.clk_domain.clock           4096                       # Clock period in ticks (Tick)
system.cpu.lsq0.forwLoads                       50898                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                  200512                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                  162                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                 138                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                  91298                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads                   17                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                    675                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples            4720097                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::mean              7.026238                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::stdev            20.807225                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::0-9                3817440     80.88%     80.88% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::10-19               872042     18.48%     99.35% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::20-29                  190      0.00%     99.36% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::30-39                  475      0.01%     99.37% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::40-49                  262      0.01%     99.37% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::50-59                  225      0.00%     99.38% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::60-69                  839      0.02%     99.39% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::70-79                   87      0.00%     99.40% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::80-89                   52      0.00%     99.40% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::90-99                   86      0.00%     99.40% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::100-109                 85      0.00%     99.40% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::110-119                 60      0.00%     99.40% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::120-129                113      0.00%     99.40% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::130-139                119      0.00%     99.41% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::140-149                391      0.01%     99.41% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::150-159                486      0.01%     99.42% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::160-169                888      0.02%     99.44% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::170-179               1741      0.04%     99.48% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::180-189               3196      0.07%     99.55% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::190-199              12438      0.26%     99.81% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::200-209                988      0.02%     99.83% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::210-219                568      0.01%     99.84% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::220-229                314      0.01%     99.85% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::230-239                270      0.01%     99.86% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::240-249               1150      0.02%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::250-259               2876      0.06%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::260-269                273      0.01%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::270-279                123      0.00%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::280-289                103      0.00%     99.95% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::290-299                262      0.01%     99.96% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::overflows             1955      0.04%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::min_value                2                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::max_value             1668                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::total              4720097                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.mmu.dtb.rdAccesses                 4878845                       # TLB accesses on read requests (Count)
system.cpu.mmu.dtb.wrAccesses                 2378242                       # TLB accesses on write requests (Count)
system.cpu.mmu.dtb.rdMisses                      4576                       # TLB misses on read requests (Count)
system.cpu.mmu.dtb.wrMisses                       357                       # TLB misses on write requests (Count)
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED   2441001728                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.rdAccesses                       0                       # TLB accesses on read requests (Count)
system.cpu.mmu.itb.wrAccesses                  253086                       # TLB accesses on write requests (Count)
system.cpu.mmu.itb.rdMisses                         0                       # TLB misses on read requests (Count)
system.cpu.mmu.itb.wrMisses                      1386                       # TLB misses on write requests (Count)
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED   2441001728                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON   2441001728                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.squashCycles                  33275                       # Number of cycles rename is squashing (Cycle)
system.cpu.rename.idleCycles                  1411741                       # Number of cycles rename is idle (Cycle)
system.cpu.rename.blockCycles                 2135828                       # Number of cycles rename is blocking (Cycle)
system.cpu.rename.serializeStallCycles          14300                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.runCycles                   2920706                       # Number of cycles rename is running (Cycle)
system.cpu.rename.unblockCycles               2785647                       # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.renamedInsts               23718858                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents                 11228                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                 203744                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.LQFullEvents                  20029                       # Number of times rename has blocked due to LQ full (Count)
system.cpu.rename.SQFullEvents                2404815                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.fullRegistersEvents              32                       # Number of times there has been no free registers (Count)
system.cpu.rename.renamedOperands            36611690                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                    78724818                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                 27071872                       # Number of integer rename lookups (Count)
system.cpu.rename.fpLookups                  15306614                       # Number of floating rename lookups (Count)
system.cpu.rename.committedMaps              33770153                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                  2841528                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                     771                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                 741                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                   5905689                       # count of insts added to the skid buffer (Count)
system.cpu.rob.reads                         30543840                       # The number of ROB reads (Count)
system.cpu.rob.writes                        47102310                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                  9773767                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                   22101016                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References (Count)
system.cpu.workload.numSyscalls                    67                       # Number of system calls (Count)
system.dcache.demandHits::cpu.data            5938695                       # number of demand (read+write) hits (Count)
system.dcache.demandHits::total               5938695                       # number of demand (read+write) hits (Count)
system.dcache.overallHits::cpu.data           5938695                       # number of overall hits (Count)
system.dcache.overallHits::total              5938695                       # number of overall hits (Count)
system.dcache.demandMisses::cpu.data          1226379                       # number of demand (read+write) misses (Count)
system.dcache.demandMisses::total             1226379                       # number of demand (read+write) misses (Count)
system.dcache.overallMisses::cpu.data         1226379                       # number of overall misses (Count)
system.dcache.overallMisses::total            1226379                       # number of overall misses (Count)
system.dcache.demandMissLatency::cpu.data   5313891581                       # number of demand (read+write) miss ticks (Tick)
system.dcache.demandMissLatency::total     5313891581                       # number of demand (read+write) miss ticks (Tick)
system.dcache.overallMissLatency::cpu.data   5313891581                       # number of overall miss ticks (Tick)
system.dcache.overallMissLatency::total    5313891581                       # number of overall miss ticks (Tick)
system.dcache.demandAccesses::cpu.data        7165074                       # number of demand (read+write) accesses (Count)
system.dcache.demandAccesses::total           7165074                       # number of demand (read+write) accesses (Count)
system.dcache.overallAccesses::cpu.data       7165074                       # number of overall (read+write) accesses (Count)
system.dcache.overallAccesses::total          7165074                       # number of overall (read+write) accesses (Count)
system.dcache.demandMissRate::cpu.data       0.171161                       # miss rate for demand accesses (Ratio)
system.dcache.demandMissRate::total          0.171161                       # miss rate for demand accesses (Ratio)
system.dcache.overallMissRate::cpu.data      0.171161                       # miss rate for overall accesses (Ratio)
system.dcache.overallMissRate::total         0.171161                       # miss rate for overall accesses (Ratio)
system.dcache.demandAvgMissLatency::cpu.data  4332.992966                       # average overall miss latency in ticks ((Tick/Count))
system.dcache.demandAvgMissLatency::total  4332.992966                       # average overall miss latency in ticks ((Tick/Count))
system.dcache.overallAvgMissLatency::cpu.data  4332.992966                       # average overall miss latency ((Tick/Count))
system.dcache.overallAvgMissLatency::total  4332.992966                       # average overall miss latency ((Tick/Count))
system.dcache.blockedCycles::no_mshrs           42747                       # number of cycles access was blocked (Cycle)
system.dcache.blockedCycles::no_targets            42                       # number of cycles access was blocked (Cycle)
system.dcache.blockedCauses::no_mshrs             947                       # number of times access was blocked (Count)
system.dcache.blockedCauses::no_targets             1                       # number of times access was blocked (Count)
system.dcache.avgBlocked::no_mshrs          45.139388                       # average number of cycles each access was blocked ((Cycle/Count))
system.dcache.avgBlocked::no_targets               42                       # average number of cycles each access was blocked ((Cycle/Count))
system.dcache.writebacks::writebacks           276225                       # number of writebacks (Count)
system.dcache.writebacks::total                276225                       # number of writebacks (Count)
system.dcache.demandMshrHits::cpu.data         935788                       # number of demand (read+write) MSHR hits (Count)
system.dcache.demandMshrHits::total            935788                       # number of demand (read+write) MSHR hits (Count)
system.dcache.overallMshrHits::cpu.data        935788                       # number of overall MSHR hits (Count)
system.dcache.overallMshrHits::total           935788                       # number of overall MSHR hits (Count)
system.dcache.demandMshrMisses::cpu.data       290591                       # number of demand (read+write) MSHR misses (Count)
system.dcache.demandMshrMisses::total          290591                       # number of demand (read+write) MSHR misses (Count)
system.dcache.overallMshrMisses::cpu.data       290591                       # number of overall MSHR misses (Count)
system.dcache.overallMshrMisses::total         290591                       # number of overall MSHR misses (Count)
system.dcache.demandMshrMissLatency::cpu.data   1561617149                       # number of demand (read+write) MSHR miss ticks (Tick)
system.dcache.demandMshrMissLatency::total   1561617149                       # number of demand (read+write) MSHR miss ticks (Tick)
system.dcache.overallMshrMissLatency::cpu.data   1561617149                       # number of overall MSHR miss ticks (Tick)
system.dcache.overallMshrMissLatency::total   1561617149                       # number of overall MSHR miss ticks (Tick)
system.dcache.demandMshrMissRate::cpu.data     0.040557                       # mshr miss ratio for demand accesses (Ratio)
system.dcache.demandMshrMissRate::total      0.040557                       # mshr miss ratio for demand accesses (Ratio)
system.dcache.overallMshrMissRate::cpu.data     0.040557                       # mshr miss ratio for overall accesses (Ratio)
system.dcache.overallMshrMissRate::total     0.040557                       # mshr miss ratio for overall accesses (Ratio)
system.dcache.demandAvgMshrMissLatency::cpu.data  5373.935012                       # average overall mshr miss latency ((Tick/Count))
system.dcache.demandAvgMshrMissLatency::total  5373.935012                       # average overall mshr miss latency ((Tick/Count))
system.dcache.overallAvgMshrMissLatency::cpu.data  5373.935012                       # average overall mshr miss latency ((Tick/Count))
system.dcache.overallAvgMshrMissLatency::total  5373.935012                       # average overall mshr miss latency ((Tick/Count))
system.dcache.replacements                     290035                       # number of replacements (Count)
system.dcache.LockedRMWReadReq.misses::cpu.data            1                       # number of LockedRMWReadReq misses (Count)
system.dcache.LockedRMWReadReq.misses::total            1                       # number of LockedRMWReadReq misses (Count)
system.dcache.LockedRMWReadReq.missLatency::cpu.data        16384                       # number of LockedRMWReadReq miss ticks (Tick)
system.dcache.LockedRMWReadReq.missLatency::total        16384                       # number of LockedRMWReadReq miss ticks (Tick)
system.dcache.LockedRMWReadReq.accesses::cpu.data            1                       # number of LockedRMWReadReq accesses(hits+misses) (Count)
system.dcache.LockedRMWReadReq.accesses::total            1                       # number of LockedRMWReadReq accesses(hits+misses) (Count)
system.dcache.LockedRMWReadReq.missRate::cpu.data            1                       # miss rate for LockedRMWReadReq accesses (Ratio)
system.dcache.LockedRMWReadReq.missRate::total            1                       # miss rate for LockedRMWReadReq accesses (Ratio)
system.dcache.LockedRMWReadReq.avgMissLatency::cpu.data        16384                       # average LockedRMWReadReq miss latency ((Tick/Count))
system.dcache.LockedRMWReadReq.avgMissLatency::total        16384                       # average LockedRMWReadReq miss latency ((Tick/Count))
